T,1,2,3,4,5
1,1551.4426821682293,2086.7664865376205,2092.2040070265716,2274.741133344242,1734.0483218191273
2,1541.2881945164677,1857.755918490368,1770.0471896209733,2482.658157728204,2008.5321059456742
3,1576.8168388493564,1987.1725435296446,1624.1770627808812,2380.157107211964,1778.524647189801
4,1378.0227001309188,2107.619955891429,1858.8435049118066,2445.3429603112436,1680.2972626495762
5,1496.295509615044,2245.152249356572,2055.2618455483453,2473.487432298979,1541.0232893432349
6,1184.9286394774256,2299.7111478622214,1861.1164061386094,1960.9000212702178,1805.9748598379272
7,384.63065412829263,1822.0428865777735,1608.7603292510535,1704.056826800991,1370.5951657980645
8,1333.3262468752093,2723.885409682355,2321.6218899258306,2514.704959182713,1244.1396959100273
9,1504.4538304492228,2931.7145876342047,2421.4263737854535,2224.5067148158864,1691.0642395744512
10,2006.0785383865611,2351.1892536184396,2570.222114601509,1686.9335424469982,2083.6783706643487
11,1797.7874822384356,2054.896236760614,2824.2451787954737,1419.8732186368527,1758.475210182753
12,1553.5761768640837,1964.79211483,3001.419626355651,1461.7618637960727,1825.8888439944326
13,1697.4149368430478,2192.970698799762,2716.9583446138035,1523.8644407873928,2583.1127347588317
14,1524.617916893185,2167.7357531710118,2636.2104700328828,1836.3744252986444,1761.4990776401598
15,990.6113680015594,1769.0668585597878,1796.6627537906709,1924.3171862635008,1442.7163686419094
16,402.8017132172019,1722.8968148168508,1703.8389985224217,1234.9494385479497,1098.308123516082
17,427.38277908342616,1085.291608630297,677.559093352956,682.9525243867768,1154.6092892356282
18,535.0395995309736,1142.43775522428,272.259784042592,629.0928973440539,417.2127936220041
19,763.3349340538551,1146.3316277719437,457.3017852242201,636.4974384534637,657.2848978165946
20,892.9970184226523,1057.5213868116175,385.12705380179455,649.7924931956292,623.6761225155686
21,1997.3215183689554,1404.7912450745891,483.79468405579314,730.7630495552424,711.1965500146823
22,2099.2843788673863,2286.456476253842,821.2065958400203,976.8472455507456,1479.9293154854613
23,1768.7961227654084,1839.9242662762845,1382.4970027392555,1226.4243197327105,1385.35915350395
24,1511.5932633199222,1549.6443421338522,1438.1021472766643,1403.6875813647534,1660.1882831750827
